index,Area,Unit Price (Saleable)int,gain/loss
850,Shek Tong Tsui,13953,
851,Siu Sai Wan,21277,1
852,Chung Hom Kok,23619,1
853,Mid-Levels West,21001,1
854,Tai Hang Mid-Levels,20359,1
855,Tuen Mun Ferry Pier,11976,0
856,Yau Tong,17933,0
857,Siu Sai Wan,20071,1
858,Tin Hau,14641,1
859,Kowloon Station,31401,1
860,Kowloon Tong,16203,1
861,Tai Hang,17448,
862,Chai Wan,11082,
863,Tin Shui Wai,6769,
864,Tin Shui Wai,7323,
865,Tin Shui Wai,16109,
866,Tai Kok Tsui,8968,1
867,Tuen Mun San Hui,14879,0
868,Tin Shui Wai,14029,
869,Tuen Mun San Hui,9238,
870,Tuen Mun San Hui,13793,0
871,Jordan,9323,
872,Tsing Yi,10616,
873,Tsing Yi,12854,1
874,Tsing Yi,12315,1
875,Tsing Yi,12315,1
876,Tin Shui Wai,14767,
877,Tin Shui Wai,14905,
878,Mong Kok,24131,
879,Tin Shui Wai,15093,
880,Whampoa,15988,0
881,Whampoa,14836,1
882,Whampoa,18462,1
883,South Horizons,17611,
884,Quarry Bay,11569,1
885,Tung Chung Town Centre,14134,1
886,Tuen Mun South,11730,1
887,Four Little Dragons,16309,1
888,Kowloon Bay,11472,1
889,Quarry Bay,9064,
890,Tuen Mun South,10885,0
891,Kowloon Bay,12654,
892,Yuen Long South New Development Area,10215,1
893,Anderson,6667,
894,Ha Kwai Chung,9946,
895,North Point,12320,
896,Quarry Bay,10952,1
897,Yuen Long Station,16505,1
898,Tuen Mun South,14618,1
899,So Kwun Wat,14925,
900,Sham Shui Po,15842,1
