index,Area,Unit Price (Saleable)int,gain/loss
118264,Cheung Sha Wan,17833,1
118265,Belvedere,11063,1
118266,Au Tau,10189,1
118267,Au Tau,13553,1
118268,Tuen Mun North,12058,1
118269,Shap Pat Heung,15311,
118270,Diamond Hill,16112,1
118271,Shap Pat Heung,16721,
118272,Shap Pat Heung,17597,
118273,Tsuen King Circuit,12600,1
118274,Tsuen King Circuit,14487,1
118275,Siu Lam,11333,1
118276,Nam Cheong Station,27166,
118277,Tsuen King Circuit,11545,1
118278,North Point,18431,1
118279,Kowloon Tong,17095,
118280,Tai Hang Mid-Levels,25648,1
118281,Tuen Mun Town Centre,4813,
118282,Tuen Mun Town Centre,12936,
118283,Tuen Mun Ferry Pier,13415,1
118284,Heng Fa Chuen,16667,1
118285,Prince Edward,16310,1
118286,Ap Lei CHau,19574,1
118287,Long Ping,,
118288,Whampoa,16590,1
118289,Yau Ma Tei,14298,
118290,Yau Ma Tei,12997,1
118291,Cheung Sha Wan,10400,1
118292,Olympic Station,25105,1
118293,Olympic Station,17730,1
118294,Sham Shui Po,20328,
118295,Sham Shui Po,18176,
118296,Sham Shui Po,15130,1
118297,Hung Hom,11489,1
118298,Tai Tam,21142,1
118299,Tin Shui Wai,10912,1
118300,Shap Pat Heung,16372,
118301,So Kwun Wat,8429,1
118302,Lai King,12233,
118303,Kai Tak New Area,17944,
118304,Tin Hau,17891,1
118305,Taikoo Shing,18491,1
118306,Lok Fu,11386,
118307,Ngau Chi Wan,11471,
118308,Ho Man Tin,15294,1
118309,Ho Man Tin,19877,1
118310,Lok Fu,9194,
118311,Au Tau,13523,1
118312,Kowloon Station,19625,1
118313,Mong Kok,12238,
118314,Mong Kok,7226,1
118315,Mong Kok,15957,1
118316,Tuen Mun San Hui,9375,
118317,Ma Wan,12564,1
118318,Ngau Tau Kok,12500,
118319,Sai Wan Ho,18839,1
118320,Ha Kwai Chung,15686,1
118321,Lai Wan,12403,
118322,Tuen Mun North,11857,1
118323,Tuen Mun Ferry Pier,10410,
118324,Cheung Sha Wan,19858,
118325,Tin Shui Wai,11255,1
118326,South Horizons,15324,1
118327,Tsuen Wan West,13684,1
118328,Four Little Dragons,16490,1
118329,Kai Tak New Area,25382,
118330,To Kwa Wan,20773,1
118331,To Kwa Wan,18344,1
118332,To Kwa Wan,19355,1
118333,Taikoo Shing,17036,1
118334,North Point,15006,1
118335,Au Tau,12867,1
118336,Sheung Kwai Chung,11149,1
118337,Ma Tau Wai,17522,1
118338,Kornhill,15992,
118339,So Kwun Wat,14211,
118340,Lam Tin,11340,
118341,Wong Tai Sin,18182,1
118342,So Kwun Wat,13198,1
118343,So Kwun Wat,17677,
118344,So Kwun Wat,13491,1
118345,So Kwun Wat,19436,
118346,Kwun Tong,12274,
118347,Tsing Lung Tau,11732,1
118348,Lam Tin,14468,
118349,Tung Chung Town Centre,14977,1
118350,Mei Foo,12971,1
118351,Yuen Long Station,15000,0
118352,Tin Shui Wai,9798,1
118353,Causeway Bay,17201,1
118354,Tin Shui Wai,8585,
118355,Tung Chung Town Centre,12517,1
118356,Mid-Levels West,20247,1
118357,Tin Shui Wai,9855,1
118358,Sam Shing,11815,1
118359,Mei Foo,13297,1
118360,Hung Shui Kiu South New Development Area,8108,1
118361,Sai Ying Pun,33571,
118362,Tung Chung Town Centre,11367,1
118363,Sham Shui Po,14378,1
118364,North Point,19038,1
118365,Ap Lei CHau,15174,
118366,Tung Chung North,,
118367,Quarry Bay,19500,1
118368,Quarry Bay,12340,1
118369,Whampoa,15565,1
118370,Sai Ying Pun,21123,1
118371,Long Ping,16134,
118372,Shap Pat Heung,16978,
118373,Shap Pat Heung,18016,
118374,North Point,17606,1
118375,Sai Ying Pun,14058,1
118376,Hung Shui Kiu North New Development Area,14344,1
118377,Kowloon Station,30746,1
118378,Hung Shui Kiu North New Development Area,14959,1
118379,Mei Foo,13393,1
118380,Tsuen Wan West,14569,1
118381,Tuen Mun North,4409,
118382,Olympic Station,24678,1
118383,Pok Fu Lam,14692,
118384,Kowloon Station,20349,1
118385,Tsing Yi,16794,1
118386,Tsing Yi,17417,1
118387,Tuen Mun Town Centre,14184,1
118388,Diamond Hill,18104,1
118389,Sheung Wan,12131,1
118390,Mei Foo,13010,1
118391,Sheung Wan,24375,1
118392,Four Little Dragons,18051,1
118393,Palm Springs / Fairview,11229,1
118394,North Point,17606,1
118395,Tsuen Wan West,16505,1
118396,North Point,37993,
118397,Chai Wan,13369,
118398,Chai Wan,11847,
118399,Shap Pat Heung,15373,
118400,Tai Tam,20921,
118401,Tuen Mun San Hui,13781,1
118402,Ngau Chi Wan,11369,
118403,Mid-Levels Central,23791,1
118404,So Kwun Wat,17031,
118405,So Kwun Wat,18731,
118406,Yuen Long Town Centre,11436,1
118407,Chi Lok,11361,1
118408,Wong Tai Sin,19776,1
118409,Yuen Long Town Centre,11121,1
118410,Wan Chai,23202,1
118411,Kennedy Town,22760,
118412,Sham Shui Po,13545,1
118413,Tin Shui Wai,7042,
118414,So Kwun Wat,14232,
118415,Mid-Levels West,32031,
118416,Tuen Mun Ferry Pier,13813,1
118417,Taikoo Shing,20199,1
118418,Tai Hang,22563,1
118419,Sham Shui Po,13932,1
118420,Jardine's,43606,
118421,Mid-Levels West,20735,1
118422,Kowloon Bay,15603,0
118423,Whampoa,16604,1
118424,Lai Wan,12991,
118425,Ho Man Tin,11374,
118426,Tung Chung Town Centre,9668,1
118427,North Point,10439,1
118428,Kornhill,16234,1
118429,Kornhill,16183,
118430,Kowloon Bay,13057,1
118431,Kowloon Bay,13867,1
118432,Tung Chung Town Centre,12106,1
118433,North Point,15753,1
118434,Mid-Levels West,21900,1
118435,Tsuen King Circuit,11043,
118436,Shap Pat Heung,17719,
118437,Whampoa,16733,1
118438,Shap Pat Heung,17111,
118439,Mid-Levels West,23378,1
118440,Shap Pat Heung,16588,
118441,Mid-Levels West,28858,1
118442,Siu Lam,13454,
118443,Kowloon Station,33333,1
118444,Quarry Bay,13684,1
118445,South Horizons,15695,1
118446,Sham Shui Po,7241,
118447,Tai Hang Mid-Levels,17009,0
118448,Cheung Sha Wan,15050,1
118449,Sheung Kwai Chung,5418,
118450,Sheung Kwai Chung,11798,1
118451,Discovery Bay,10914,1
118452,Discovery Bay,9003,1
118453,Mong Kok,17090,1
118454,Tin Shui Wai,6738,
118455,King's Park,17045,1
118456,Lam Tin,15242,1
118457,Sham Shui Po,9763,1
118458,Belvedere,11364,1
118459,Tin Shui Wai,10015,1
118460,Tin Shui Wai,10662,1
118461,Tsim Sha Tsui,10776,1
118462,Lam Tin,14898,1
118463,Kwun Tong,7148,
118464,Sam Shing,10109,1
118465,Sham Shui Po,14504,1
118466,Nam Cheong Station,26588,
118467,Sham Shui Po,12308,
118468,Kennedy Town,19918,1
118469,Tsuen Wan Town Centre,14897,1
118470,Heng Fa Chuen,17117,1
118471,Heng Fa Chuen,16834,1
118472,So Kwun Wat,17116,
118473,So Kwun Wat,14230,
118474,So Kwun Wat,11005,1
118475,Taikoo Shing,19071,1
118476,Kowloon Tong,25199,
118477,Tsuen Wan Town Centre,14628,1
118478,Siu Hong,9422,
118479,Tsuen Wan West,15376,0
118480,Quarry Bay,9585,1
118481,Tsuen King Circuit,12932,1
118482,South Horizons,16378,1
118483,Cheung Sha Wan,11338,
118484,South Horizons,16602,
118485,North Point,11401,1
118486,Mei Foo,13127,
118487,Mei Foo,12619,
118488,Au Tau,13244,1
118489,Cheung Sha Wan,7481,
118490,Mei Foo,13141,1
118491,Heng Fa Chuen,16556,1
118492,Lam Tei,11616,1
118493,Siu Lam,26681,
118494,Yuen Long Station,15422,1
118495,Tuen Mun North,12843,1
118496,Wong Tai Sin,12331,
118497,Mid-Levels West,35539,
118498,Tai Wo Hau,11218,1
118499,Yuen Long Town Centre,10605,1
118500,Siu Sai Wan,10441,
118501,Yuen Long Town Centre,9799,1
118502,Wong Tai Sin,10759,
118503,Siu Lam,27629,
118504,Tsing Yi,14717,1
118505,Tsing Yi,14402,1
118506,North Point,26427,
118507,Ho Man Tin,11693,1
118508,Wan Chai,19858,1
118509,Tuen Mun North,13867,1
118510,Kornhill,16183,1
118511,Mid-Levels West,29063,
118512,Lai King,13254,
118513,Mid-Levels West,20276,1
118514,Mid-Levels West,31249,
118515,Yuen Long Station,14145,1
118516,Quarry Bay,18285,1
118517,Tsuen Wan West,15474,1
118518,Tuen Mun San Hui,11606,1
118519,Shap Pat Heung,14537,1
118520,Hung Hom,18056,1
118521,Sham Tseng,12118,1
118522,Sham Tseng,9758,1
118523,Chai Wan,11920,
118524,Ha Kwai Chung,13928,1
118525,Shap Pat Heung,17548,
118526,Shap Pat Heung,17484,
118527,Shap Pat Heung,18095,
118528,Shap Pat Heung,15556,
118529,Shap Pat Heung,16014,
118530,Shap Pat Heung,16470,
118531,Shap Pat Heung,16231,
118532,Shap Pat Heung,11759,1
118533,Shau Kei Wan,14458,1
118534,Shau Kei Wan,17545,1
118535,Shau Kei Wan,16570,1
118536,Hung Hom,10942,
118537,Sham Shui Po,18156,
118538,Sai Wan Ho,15143,
118539,Sham Shui Po,10067,
118540,Sham Shui Po,16901,
118541,Kwun Tong,14937,1
118542,Sham Shui Po,19033,
118543,Shek Kip Mei,12825,1
118544,To Kwa Wan,17413,1
118545,Ma Tau Wai,5378,
118546,Mong Kok,13443,1
118547,Whampoa,15493,1
118548,Whampoa,15634,1
118549,Whampoa,15047,1
118550,Whampoa,18241,1
118551,Diamond Hill,16035,
118552,Diamond Hill,14277,
118553,Siu Hong,12453,1
118554,Olympic Station,19922,1
118555,Jordan,15465,
118556,Hung Hom,17413,1
118557,Olympic Station,18215,1
118558,Kowloon City,20181,1
118559,Kowloon City,11320,
118560,Kowloon City,21078,1
118561,Kowloon Bay,12804,1
118562,Kowloon Bay,17147,1
118563,Kowloon Bay,13111,1
118564,Tin Shui Wai,8992,
118565,Ha Kwai Chung,14218,
118566,Tsuen Wan West,16290,1
118567,Yuk Kwai Shan Wan Poon,17563,1
118568,Mid-Levels West,31467,
118569,Shap Pat Heung,15341,
118570,To Kwa Wan,14314,1
118571,To Kwa Wan,18872,1
118572,Taikoo Shing,14514,
118573,Ma Wan,11254,1
118574,Ngau Tau Kok,12344,
118575,To Kwa Wan,11310,
118576,North Point,11655,1
118577,North Point,27259,
118578,North Point,26303,
118579,North Point,14670,1
118580,Shap Pat Heung,17243,
118581,North Point,8596,0
118582,North Point,16051,1
118583,North Point,,1
118584,Whampoa,19259,1
118585,Whampoa,14650,1
118586,Taikoo Shing,17182,1
118587,Kennedy Town,16624,0
118588,Shap Pat Heung,15847,
118589,Shap Pat Heung,16843,
118590,Chi Lok,11709,1
118591,Chai Wan,12386,
118592,Chi Lok,9491,
118593,Chi Lok,13950,1
118594,Taikoo Shing,17869,1
118595,Yuen Long Station,15607,1
118596,Yuen Long Station,15319,1
118597,Tsing Yi,8589,
118598,Tuen Mun San Hui,8946,
118599,Mid-Levels West,25000,1
118600,Mid-Levels West,33179,
118601,So Kwun Wat,18139,
118602,Shap Pat Heung,15403,
118603,Kwun Tong,11448,1
118604,Sham Tseng,11450,1
118605,Tai Kok Tsui,16531,1
118606,Ngau Chi Wan,16135,1
118607,Siu Lam,11545,
118608,Taikoo Shing,18027,1
118609,Yau Tong,14973,1
118610,Luk Yeung,15281,1
118611,Mei Foo,13390,1
118612,Tuen Mun North,15894,1
118613,Repulse Bay,34142,1
118614,Long Ping,14130,1
118615,Mei Foo,13436,1
118616,Ho Man Tin,14694,
118617,Kennedy Town,21020,1
118618,Shap Pat Heung,15879,
118619,Long Ping,14439,1
118620,Mid-Levels Central,39277,1
118621,Residence Bel-air,24355,1
118622,Hung Shui Kiu North New Development Area,18630,1
118623,Wan Chai,18251,1
118624,Kennedy Town,13333,1
118625,Yau Ma Tei,15576,1
118626,Aberdeen,14039,1
118627,Pok Fu Lam,15490,1
118628,Lai Wan,11558,1
118629,Kornhill,16475,1
118630,Yau Ma Tei,13047,
118631,So Kwun Wat,16897,
118632,Tuen Mun San Hui,11093,1
118633,Tuen Mun Ferry Pier,10331,
118634,Jordan,14286,1
118635,Four Little Dragons,7622,
118636,South Horizons,15835,1
118637,Sheung Wan,19512,
118638,Tuen Mun North,13359,1
118639,Wong Tai Sin,10469,
118640,Sai Wan Ho,14495,1
118641,Tuen Mun North,10705,1
118642,Tung Chung Town Centre,13043,1
118643,Yau Yat Tsuen,19435,1
118644,Kennedy Town,21097,1
118645,Siu Hong,9194,
118646,Laguna,16420,1
118647,Jordan,14959,1
118648,Four Little Dragons,7359,
118649,Tuen Mun Ferry Pier,13208,1
118650,Olympic Station,22027,1
118651,Sheung Wan,16906,
118652,Tung Chung Town Centre,11084,1
118653,Heng Fa Chuen,15740,1
118654,Tsz Wan Shan,11172,
118655,Tung Chung Town Centre,10121,1
118656,Tsuen Wan West,20499,1
118657,Yau Ma Tei,14881,
118658,Kowloon Station,25561,1
118659,Ngau Chi Wan,11149,
118660,Tuen Mun Ferry Pier,10046,
118661,Kowloon Station,17958,1
118662,Jordan,11538,
118663,Choi Hung,14597,1
118664,Mong Kok,17227,
118665,Tsuen Wan Hoi Bun,11177,1
118666,South Horizons,15886,
118667,Diamond Hill,,
118668,Tuen Mun South,8953,
118669,Quarry Bay,21753,
118670,Sham Shui Po,7396,1
118671,Sham Shui Po,6786,0
118672,Au Tau,12588,1
118673,Belvedere,11066,1
118674,Belvedere,12181,
118675,Ngau Chi Wan,12559,
118676,Laguna,18250,1
118677,To Kwa Wan,16019,1
118678,Mid-Levels West,18705,1
118679,Quarry Bay,14485,1
118680,Sham Shui Po,19807,1
118681,Kowloon Station,40329,1
118682,Tai Kok Tsui,17490,1
118683,Tuen Mun Town Centre,14904,1
118684,Yuen Long Station,16154,
118685,Lam Tin,6501,
118686,Sai Wan Ho,22543,1
118687,Tuen Mun San Hui,8557,
118688,Whampoa,14655,1
118689,Lam Tei,11616,1
118690,Tung Chung Town Centre,12264,1
118691,Kwun Tong,6589,
118692,Whampoa,16978,1
118693,Shap Pat Heung,16336,
118694,Shap Pat Heung,16470,
118695,Kowloon Station,24968,1
118696,Mid-Levels West,17424,1
118697,Chai Wan,16004,1
118698,North Point,17193,1
118699,Diamond Hill,17427,1
118700,Kornhill,16566,1
118701,Hung Hom,15417,1
118702,Nam Cheong Station,28000,
118703,Wan Chai,34894,1
118704,Mid-Levels West,19507,1
118705,Mid-Levels West,16949,1
118706,Tsuen King Circuit,13313,1
118707,Sheung Kwai Chung,10182,1
118708,Mid-Levels West,27403,1
118709,Tsing Yi,12140,
118710,Mid-Levels West,33709,
118711,Shap Pat Heung,16436,
118712,Shap Pat Heung,16991,
118713,Mid-Levels West,34269,
118714,Tsuen Wan Town Centre,,1
118715,Wan Chai,31689,1
118716,To Kwa Wan,18789,1
118717,Shap Pat Heung,10517,1
118718,Anderson,13395,
118719,Yuen Long Town Centre,13729,1
118720,Tuen Mun Town Centre,12188,
118721,Shap Pat Heung,16488,
118722,Yuen Long Town Centre,10769,1
118723,Shap Pat Heung,16555,
118724,Long Ping,5774,
118725,Yuen Long Town Centre,13451,1
118726,Wong Tai Sin,11759,
118727,Cheung Sha Wan,24819,
118728,To Kwa Wan,20366,1
118729,Kai Tak New Area,23883,
118730,Shap Pat Heung,16015,
118731,Kowloon Tong,15831,
118732,Kowloon City,9265,
118733,So Kwun Wat,19108,
118734,Shap Pat Heung,16536,
118735,Tuen Mun Town Centre,12364,1
118736,Shap Pat Heung,16621,
118737,Lam Tin,5914,
118738,Tuen Mun South,9780,1
118739,Palm Springs / Fairview,12028,1
118740,Sai Wan Ho,19063,1
118741,Ho Man Tin,12195,
118742,Chai Wan,10508,
118743,To Kwa Wan,9578,
118744,Yuen Long Station,13043,1
118745,Lam Tei,10892,1
118746,Kennedy Town,25927,1
118747,To Kwa Wan,19352,1
118748,Ha Kwai Chung,15416,1
118749,Chai Wan,11071,
118750,Prince Edward,9859,1
118751,Tsim Sha Tsui,11034,
118752,Shap Pat Heung,15681,
118753,North Point Mid-Levels,17729,1
118754,Nam Cheong Station,25255,
118755,Sham Shui Po,14625,1
118756,Tsuen Wan West,10877,1
118757,Laguna,17019,1
118758,Tung Chung Town Centre,10780,1
118759,Tung Chung Town Centre,10138,1
118760,Nob Hill,16268,1
118761,Sheung Kwai Chung,13435,1
118762,Tuen Mun Town Centre,15353,1
118763,Kornhill,13460,1
118764,Discovery Park,12390,1
118765,Sham Shui Po,18094,
118766,Tai Hang,17007,1
118767,Shau Kei Wan,21538,1
118768,Lantau,8235,1
118769,Jordan,14641,1
118770,Tsing Lung Tau,8759,1
118771,Mid-Levels West,21571,
118772,Laguna,16044,1
118773,Tsing Yi,9366,
118774,Causeway Bay,16588,
118775,Stanley,21857,1
118776,Cheung Sha Wan,8409,1
118777,So Kwun Wat,18380,
118778,North Point,19149,1
118779,North Point,13223,1
118780,Cheung Sha Wan,18921,1
118781,So Kwun Wat,16184,
118782,Tsuen King Circuit,13152,1
118783,Discovery Bay,10430,1
118784,Tin Shui Wai,6434,
118785,Tin Shui Wai,7236,
118786,Tin Shui Wai,8414,
118787,Lung Ping,14870,1
118788,Tin Shui Wai,8976,1
118789,So Kwun Wat,18368,
118790,Tsuen Wan West,11702,1
118791,Tin Shui Wai,11211,1
118792,South Horizons,14822,
118793,Kam Tin,11065,1
118794,Mong Kok,10853,1
118795,Tin Shui Wai,9982,1
118796,To Kwa Wan,16179,1
118797,To Kwa Wan,18747,1
118798,Tin Shui Wai,7077,
118799,Tin Shui Wai,9896,1
118800,Ha Kwai Chung,12440,1
118801,Tin Shui Wai,7631,
118802,Tuen Mun Town Centre,9939,1
118803,Tuen Mun North,11608,
118804,Kowloon Station,33441,1
118805,Sheung Wan,11149,
118806,San Po Kong,18609,1
118807,Tsuen Wan Town Centre,8492,1
118808,Yuen Long Town Centre,14850,1
118809,North Point,10915,
118810,Taikoo Shing,19088,
118811,To Kwa Wan,18858,1
118812,Yau Yat Tsuen,18774,1
118813,Hung Shui Kiu North New Development Area,10171,1
118814,Wan Chai,23375,1
118815,Mid-Levels Central,23647,1
118816,San Po Kong,12275,
118817,Siu Sai Wan,14545,1
118818,Yau Kom Tau,11922,1
118819,Lam Tin,12357,
118820,Aberdeen,12190,1
118821,Lam Tin,11898,1
118822,Tsim Sha Tsui,25809,1
118823,Kam Tin,13250,1
118824,Tuen Mun North,11287,
118825,Tuen Mun North,4756,
118826,Yuen Long Town Centre,12281,1
118827,North Point,15613,1
118828,Yau Tong,12750,
118829,Ha Kwai Chung,9975,1
118830,Causeway Bay,16437,1
118831,Tin Shui Wai,9575,1
118832,Tin Shui Wai,10401,1
118833,Mid-Levels East,21249,
118834,Tin Shui Wai,10163,
118835,Tsuen Wan West,17307,1
118836,Yuen Long Station,14785,
118837,Mid-Levels East,25698,
118838,Sai Wan Ho,22884,1
118839,Tin Shui Wai,11024,1
118840,Yuen Long Station,15690,1
118841,Tung Chung Town Centre,10275,1
118842,Mid-Levels West,32401,
118843,North Point,10529,
118844,Mid-Levels West,30907,
118845,Mid-Levels West,32599,
118846,Discovery Bay,13304,1
118847,Discovery Bay,12513,1
118848,Mid-Levels West,31479,
118849,Mid-Levels West,31950,
118850,Quarry Bay,10667,
118851,Mid-Levels West,31196,
118852,Mid-Levels West,17458,1
118853,North Point,19541,1
118854,Whampoa,17738,1
118855,Whampoa,17825,1
118856,North Point,20780,1
118857,Tuen Mun North,11215,1
118858,Tuen Mun North,12261,1
118859,Four Little Dragons,7843,
118860,Kennedy Town,19573,1
118861,Kowloon Bay,16138,1
118862,Kennedy Town,24887,1
118863,Four Little Dragons,17322,1
118864,North Point,17857,1
118865,Palm Springs / Fairview,11675,1
118866,Olympic Station,20860,1
118867,Tai Kok Tsui,18135,1
118868,Shau Kei Wan,13879,
118869,Ho Man Tin,16235,
118870,Mei Foo,11940,1
118871,Chi Lok,,
118872,Mei Foo,13029,1
118873,Kowloon Bay,13393,
118874,Kowloon Bay,17376,1
118875,Mei Foo,15368,
118876,Happy Valley,20284,1
118877,Lam Tei,10211,1
118878,Choi Hung,14025,1
118879,Tsim Sha Tsui,10894,
118880,Four Little Dragons,17094,1
118881,Kennedy Town,19520,1
118882,So Kwun Wat,11134,1
118883,So Kwun Wat,13316,1
118884,Residence Bel-air,26591,1
118885,Chi Lok,13105,1
118886,So Kwun Wat,17408,
118887,So Kwun Wat,17734,
118888,So Kwun Wat,18318,
118889,Tuen Mun Ferry Pier,7494,
118890,Tsing Lung Tau,10959,1
118891,Tuen Mun Ferry Pier,7736,
118892,Kowloon City,12397,
118893,Tuen Mun Ferry Pier,10434,
118894,Yau Ma Tei,12391,
118895,Belvedere,11626,
118896,Sham Shui Po,17801,
118897,Belvedere,10521,1
118898,Kowloon Tong,14279,
118899,Tung Chung Town Centre,10544,1
118900,Tuen Mun North,5840,
118901,Tin Shui Wai,6844,
118902,Tsz Wan Shan,14056,
118903,Tuen Mun North,6095,
118904,So Kwun Wat,13927,1
118905,Olympic Station,24968,1
118906,Kennedy Town,19204,1
118907,Mid-Levels Central,22456,
118908,To Kwa Wan,14113,
118909,Sham Shui Po,6780,1
118910,Mid-Levels Central,21416,1
118911,Mid-Levels West,23435,1
118912,Tsing Yi,16687,1
118913,Choi Hung,13324,1
118914,Hung Hom,18484,1
118915,Choi Hung,10277,
118916,To Kwa Wan,10229,1
118917,Wan Chai,19809,1
118918,Repulse Bay,34525,1
118919,Kowloon Bay,13281,
118920,Sam Shing,7510,1
118921,Tsing Yi,12292,
118922,Yau Tong,14700,
118923,Kornhill,18456,1
118924,Olympic Station,20423,1
118925,To Kwa Wan,10694,1
118926,Laguna,18115,1
118927,Repulse Bay,34142,1
118928,Tai Hang Mid-Levels,15873,1
118929,To Kwa Wan,10542,1
118930,South Horizons,14523,1
118931,Sai Ying Pun,22000,
118932,Sai Ying Pun,32468,1
118933,Taikoo Shing,18506,
118934,Tai Wo Hau,13755,1
118935,North Point,15467,1
118936,Sai Wan Ho,19388,1
118937,Yuen Long Town Centre,12187,1
118938,Causeway Bay,18078,1
118939,Tuen Mun Ferry Pier,7143,
118940,Shek Tong Tsui,27190,1
118941,Quarry Bay,13199,
118942,Olympic Station,23284,1
118943,Chai Wan,15414,1
118944,Kornhill,24242,1
118945,Siu Sai Wan,18936,1
118946,Sham Shui Po,18738,
118947,Siu Hong,9361,
118948,Sham Shui Po,12110,1
118949,Tsuen King Circuit,13185,1
118950,Tsuen King Circuit,13553,1
118951,Tung Chung Town Centre,11231,1
118952,North Point,14333,1
118953,Kai Tak New Area,25682,
118954,Anderson,8176,
118955,Chai Wan,13939,
118956,Whampoa,17627,1
118957,Ping Shek,15794,1
118958,Four Little Dragons,7324,
118959,Four Little Dragons,6626,
118960,Jordan,16452,1
118961,Long Ping,13219,1
118962,Tung Chung North,,
118963,Tuen Mun Ferry Pier,12641,1
118964,Four Little Dragons,15538,1
118965,Cheung Sha Wan,15385,
118966,Quarry Bay,17903,1
118967,Sheung Wan,24234,1
118968,Olympic Station,20436,1
118969,Shap Pat Heung,13887,1
118970,Sham Shui Po,21024,
118971,Sham Shui Po,10305,
118972,Sham Shui Po,16189,
118973,Tuen Mun Town Centre,18072,1
118974,Tung Chung Town Centre,9755,1
118975,To Kwa Wan,9780,
118976,Yuk Kwai Shan Wan Poon,19271,1
118977,Causeway Bay,12593,1
118978,Sham Shui Po,13056,1
118979,Prince Edward,11778,
118980,Shouson Hill,38084,
118981,Chai Wan,10169,
118982,Prince Edward,11445,
118983,Happy Valley,24801,1
118984,Tsuen Wan West,15591,1
118985,Ma Wan,11173,1
118986,Tai Kok Tsui,18857,1
118987,Tuen Mun North,9346,1
118988,North Point,12659,
118989,Whampoa,18360,1
118990,North Point,14634,1
118991,Yuen Long Town Centre,13717,1
118992,Siu Lam,9848,1
118993,North Point,14429,1
118994,Sheung Wan,18584,1
118995,Prince Edward,6897,
118996,Mid-Levels West,13548,1
118997,Mid-Levels West,32888,
118998,Ho Man Tin,8533,
118999,Sham Shui Po,21339,
119000,Ho Man Tin,16023,1
119001,Tin Shui Wai,10190,1
119002,Yau Yat Tsuen,21484,1
119003,Tsuen Wan Mid-levels,12648,1
119004,Yuen Long Station,12845,1
119005,Au Tau,14091,1
119006,Sheung Wan,19113,1
119007,Tung Chung Town Centre,11486,1
119008,Taikoo Shing,20310,1
119009,Kowloon Bay,13043,1
119010,Mei Foo,13102,1
119011,Kowloon Bay,13111,
119012,Kam Tin,17414,1
119013,Ha Kwai Chung,15898,1
119014,Tuen Mun San Hui,10774,
119015,So Kwun Wat,11544,1
119016,Sai Wan Ho,20080,1
119017,Lam Tin,6524,
119018,Lam Tin,14011,1
119019,Hung Hom,7075,1
119020,Siu Sai Wan,13260,
119021,Whampoa,13642,1
119022,To Kwa Wan,9409,
119023,Siu Hong,12174,1
119024,Chi Lok,10077,1
119025,Siu Sai Wan,13260,
119026,Tsing Lung Tau,8096,1
119027,Wong Tai Sin,11364,
119028,Shau Kei Wan,42691,
119029,Sheung Wan,19113,1
119030,Tuen Mun North,4331,
119031,Kennedy Town,19202,1
119032,Sam Shing,9130,1
119033,Four Little Dragons,17062,1
119034,Tung Chung North,,
119035,So Kwun Wat,12245,1
119036,Mid-Levels East,16533,1
119037,Mong Kok,10139,
119038,Shek Tong Tsui,18241,
119039,Sham Shui Po,14588,0
119040,Ap Lei CHau,8776,
119041,Kowloon Bay,16213,1
119042,Tuen Mun San Hui,15569,0
119043,Mei Foo,14763,1
119044,Tin Wan,16319,1
119045,Tuen Mun San Hui,8047,
119046,Sai Ying Pun,18127,1
119047,Kowloon Station,20881,1
119048,Hung Shui Kiu North New Development Area,9965,1
119049,Four Little Dragons,17666,1
119050,Sheung Wan,17105,1
119051,Kennedy Town,19651,1
119052,Olympic Station,20837,1
119053,Tsuen Wan West,14592,1
119054,Tsuen Wan West,14943,0
119055,Kwun Tong,8525,1
119056,Mid-Levels West,33732,
119057,Yau Tong,8081,
119058,Wong Tai Sin,5982,
119059,Tuen Mun North,4800,
119060,Taikoo Shing,20028,
119061,Shek Tong Tsui,17341,1
119062,Chi Lok,12577,1
119063,Mid-Levels West,30677,
119064,Mid-Levels West,19696,
119065,North Point,21718,1
119066,Happy Valley,16484,1
119067,Tung Chung Town Centre,8476,
119068,Tung Chung Town Centre,11498,1
119069,Wah Fu,14963,
119070,Olympic Station,19836,1
119071,Olympic Station,17897,1
119072,Olympic Station,23965,1
119073,Mid-Levels West,33908,
119074,Pok Fu Lam,16497,1
119075,South Horizons,17743,1
119076,North Point,16480,1
119077,Yau Ma Tei,10373,1
119078,Shek Kip Mei,11327,
119079,North Point,15152,1
119080,Ho Man Tin,14778,1
119081,Ho Man Tin,18749,1
119082,Heng Fa Chuen,16291,1
119083,Prince Edward,22346,1
119084,Cheung Sha Wan,17544,1
119085,North Point,15713,
119086,Yuen Long Town Centre,14481,1
119087,Yuen Long Town Centre,7987,
119088,Mid-Levels West,23318,
119089,Yau Yat Tsuen,18087,
119090,Sai Wan Ho,20874,1
119091,Tai Hang Mid-Levels,27974,1
119092,Kai Tak New Area,25128,
119093,Tsuen King Circuit,13187,1
119094,Tai Kok Tsui,12539,
119095,Tai Kok Tsui,9337,0
119096,Tin Shui Wai,6846,
119097,Lam Tin,10435,
119098,Lam Tin,10917,
119099,Kowloon City,7444,
119100,Lam Tin,4423,
119101,Whampoa,17167,1
119102,Siu Sai Wan,15807,1
119103,Sai Wan Ho,18681,1
119104,Tsing Yi,14392,1
119105,Pok Fu Lam,14286,1
119106,Tai Kok Tsui,18450,1
119107,Tsim Sha Tsui,9091,1
119108,Tin Shui Wai,11737,1
119109,Kai Tak New Area,23389,
119110,To Kwa Wan,19035,
119111,Tin Shui Wai,6923,
119112,To Kwa Wan,10753,
